V,I,,,,,,,,,,,,,,
1235.856,-3.67,,,,,,,,,,,,,,
1330.357,-0.917,,,,,,,,,,,,,,
1267.968,-1.835,,,,,,,,,,,,,,
1168.88,1.529,,,,,,,,,,,,,,
1286.012,-6.422,,,,,,,,,,,,,,
1269.192,-1.223,,,,,,,,,,,,,,
1267.968,7.34,,,,,,,,,,,,,,
1242.279,-3.058,,,,,,,,,,,,,,
1330.663,-1.835,,,,,,,,,,,,,,
1267.968,-1.223,,,,,,,,,,,,,,
1164.598,0.917,,,,,,,,,,,,,,
1285.401,-6.117,,,,,,,,,,,,,,
1269.497,-1.223,,,,,,,,,,,,,,
1269.497,5.811,,,,,,,,,,,,,,
1243.502,-3.058,,,,,,,,,,,,,,
1329.134,-1.223,,,,,,,,,,,,,,
1268.274,-0.612,,,,,,,,,,,,,,
1169.491,0.306,,,,,,,,,,,,,,
1286.318,-6.117,,,,,,,,,,,,,,
1268.58,-1.223,,,,,,,,,,,,,,
1268.58,6.422,,,,,,,,,,,,,,
1250.842,-3.364,,,,,,,,,,,,,,
1328.522,-1.529,,,,,,,,,,,,,,
1267.968,-1.529,,,,,,,,,,,,,,
1174.385,0.306,,,,,,,,,,,,,,
1288.153,-5.505,,,,,,,,,,,,,,
1269.192,-0.917,,,,,,,,,,,,,,
1267.968,5.811,,,,,,,,,,,,,,
1258.793,-3.058,,,,,,,,,,,,,,
1338.921,-1.835,,,,,,,,,,,,,,
1268.274,-0.917,,,,,,,,,,,,,,
1180.195,0,,,,,,,,,,,,,,
1288.459,-6.728,,,,,,,,,,,,,,
1269.497,-1.223,,,,,,,,,,,,,,
1267.662,5.811,,,,,,,,,,,,,,
1262.769,-3.364,,,,,,,,,,,,,,
1329.746,-1.529,,,,,,,,,,,,,,
1267.662,-1.835,,,,,,,,,,,,,,
1193.04,-1.223,,,,,,,,,,,,,,
1287.541,-6.422,,,,,,,,,,,,,,
1268.274,-2.447,,,,,,,,,,,,,,
1267.662,4.893,,,,,,,,,,,,,,
1263.075,-3.364,,,,,,,,,,,,,,
1321.488,-1.529,,,,,,,,,,,,,,
1268.274,-1.835,,,,,,,,,,,,,,
1211.696,-1.529,,,,,,,,,,,,,,
1288.153,-6.117,,,,,,,,,,,,,,
1268.58,-1.529,,,,,,,,,,,,,,
1267.968,3.364,,,,,,,,,,,,,,
1265.827,-3.058,,,,,,,,,,,,,,
1291.211,-1.835,,,,,,,,,,,,,,
1268.274,-1.529,,,,,,,,,,,,,,
1216.283,-0.917,,,,,,,,,,,,,,
1288.153,-4.893,,,,,,,,,,,,,,
1267.662,-1.835,,,,,,,,,,,,,,
1268.58,3.67,,,,,,,,,,,,,,
1267.662,-3.058,,,,,,,,,,,,,,
1267.357,-1.835,,,,,,,,,,,,,,
1267.662,-1.223,,,,,,,,,,,,,,
1220.259,-0.917,,,,,,,,,,,,,,
1288.153,-3.976,,,,,,,,,,,,,,
1269.192,-1.223,,,,,,,,,,,,,,
1266.745,3.364,,,,,,,,,,,,,,
1268.886,-3.364,,,,,,,,,,,,,,
1268.58,-1.529,,,,,,,,,,,,,,
1268.58,,,,,,,,,,,,,,,
